set,molecule,class,kind,label,qc,ensemble,separate,delta,unit
anhydrides,maleic_anhydride,CO_single,stretch,"R(1,2)",1.3848000000,1.4031592051,1.3848852428,0.0182739623,A
anhydrides,maleic_anhydride,CO_single,stretch,"R(1,5)",1.3848000000,1.4031592051,1.3848852428,0.0182739623,A
anhydrides,maleic_anhydride,CC_long,stretch,"R(2,3)",1.4849000001,1.4908461846,1.4847856002,0.0060605843,A
anhydrides,maleic_anhydride,CO_carbonyl,stretch,"R(2,6)",1.1894000000,1.1685605565,1.1894520967,-0.0208915402,A
anhydrides,maleic_anhydride,CC_short,stretch,"R(3,4)",1.3324000000,1.3326618123,1.3324095534,0.0002522589,A
anhydrides,maleic_anhydride,CC_long,stretch,"R(4,5)",1.4849000001,1.4908461846,1.4847856002,0.0060605843,A
anhydrides,maleic_anhydride,CO_carbonyl,stretch,"R(5,7)",1.1894000000,1.1685605565,1.1894520967,-0.0208915402,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(1,2)",1.3812355546,1.3814973669,1.3826146664,-0.0011172995,A
anhydrides,phthalic_anhydride,CC_long,stretch,"R(1,5)",1.4798075264,1.4857537109,1.4798670654,0.0058866454,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(1,9)",1.3842130267,1.3844748390,1.3843621477,0.0001126913,A
anhydrides,phthalic_anhydride,CC_long,stretch,"R(2,3)",1.4798075264,1.4857537109,1.4798670654,0.0058866454,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(2,6)",1.3842130267,1.3844748390,1.3843621477,0.0001126913,A
anhydrides,phthalic_anhydride,CO_single,stretch,"R(3,4)",1.3902796840,1.4086388891,1.3901088296,0.0185300595,A
anhydrides,phthalic_anhydride,CO_carbonyl,stretch,"R(3,10)",1.1887000000,1.1678605565,1.1889852739,-0.0211247174,A
anhydrides,phthalic_anhydride,CO_single,stretch,"R(4,5)",1.3902796840,1.4086388891,1.3901088296,0.0185300595,A
anhydrides,phthalic_anhydride,CO_carbonyl,stretch,"R(5,11)",1.1887000000,1.1678605565,1.1889852739,-0.0211247174,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(6,7)",1.3922836871,1.3925454994,1.3928431181,-0.0002976188,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(7,8)",1.3985768310,1.3988386433,1.4001174651,-0.0012788218,A
anhydrides,phthalic_anhydride,CC_short,stretch,"R(8,9)",1.3922836871,1.3925454994,1.3928431181,-0.0002976188,A
anhydrides,succinic_anhydride,CO_single,stretch,"R(1,2)",1.3814835418,1.3998427469,1.3841084162,0.0157343307,A
anhydrides,succinic_anhydride,CO_single,stretch,"R(1,5)",1.3814835418,1.3998427469,1.3841084162,0.0157343307,A
anhydrides,succinic_anhydride,CC_long,stretch,"R(2,3)",1.5118820860,1.5178282705,1.5119352276,0.0058930429,A
anhydrides,succinic_anhydride,CO_carbonyl,stretch,"R(2,6)",1.1877999793,1.1669605358,1.1863839529,-0.0194234171,A
anhydrides,succinic_anhydride,CC_long,stretch,"R(3,4)",1.5121552272,1.5181014117,1.5181404512,-0.0000390395,A
anhydrides,succinic_anhydride,CC_long,stretch,"R(4,5)",1.5118820860,1.5178282705,1.5119352276,0.0058930429,A
anhydrides,succinic_anhydride,CO_carbonyl,stretch,"R(5,7)",1.1877999793,1.1669605358,1.1863839529,-0.0194234171,A
