set,molecule,class,kind,label,qc,ensemble,separate,delta,unit
glycine,glycine_I,Cmethylene_N,stretch,"R(1,2)",1.4461230257,1.4415772777,1.4406036059,0.0009736718,A
glycine,glycine_I,Ccarb_Cmethylene,stretch,"R(1,4)",1.5175561781,1.5100883887,1.5113324741,-0.0012440854,A
glycine,glycine_I,N_H,stretch,"R(2,3)",1.0129765872,1.0093394898,1.0066617277,0.0026777620,A
glycine,glycine_I,N_H,stretch,"R(2,10)",1.0129765872,1.0093394898,1.0066617277,0.0026777620,A
glycine,glycine_I,Ccarb_Ocarbonyl,stretch,"R(4,5)",1.2050090046,1.2025074059,1.2058780970,-0.0033706911,A
glycine,glycine_I,Ccarb_Ohydroxyl,stretch,"R(4,6)",1.3518756953,1.3474131379,1.3533204827,-0.0059073448,A
glycine,glycine_I,Ohydroxyl_H,stretch,"R(6,7)",0.9671427869,0.9753105828,0.9660000000,0.0093105828,A
glycine,glycine_I,Ccarb_Cmethylene_N,bend,"A(2,1,4)",115.4220618354,115.5651542202,115.4139122280,0.1512419922,deg
glycine,glycine_I,H_Cmethylene_H,bend,"A(8,1,9)",105.8919184618,105.3934664583,105.9223989340,-0.5289324757,deg
glycine,glycine_I,H_N_H,bend,"A(3,2,10)",105.7336662501,104.6024760871,104.9800000000,-0.3775239129,deg
glycine,glycine_I,Ccarb_Cmethylene_Ocarbonyl,bend,"A(1,4,5)",125.6909924138,125.4723179774,124.9888040280,0.4835139494,deg
glycine,glycine_II,Ccarb_Ohydroxyl,stretch,"R(1,2)",1.3393489680,1.3348864106,1.3332703808,0.0016160298,A
glycine,glycine_II,Ccarb_Ocarbonyl,stretch,"R(1,3)",1.2024241140,1.1999225153,1.2047125856,-0.0047900703,A
glycine,glycine_II,Ccarb_Cmethylene,stretch,"R(1,5)",1.5293235911,1.5218558017,1.5227589551,-0.0009031534,A
glycine,glycine_II,Ohydroxyl_H,stretch,"R(2,4)",0.9784964835,0.9866642795,0.9902877678,-0.0036234883,A
glycine,glycine_II,Cmethylene_N,stretch,"R(5,6)",1.4646908379,1.4601450899,1.4579761434,0.0021689465,A
glycine,glycine_II,N_H,stretch,"R(6,9)",1.0102199843,1.0065828869,1.0128235933,-0.0062407064,A
glycine,glycine_II,N_H,stretch,"R(6,10)",1.0116450064,1.0080079090,1.0142486154,-0.0062407064,A
glycine,glycine_II,Ccarb_Cmethylene_Ocarbonyl,bend,"A(3,1,5)",122.6877330941,122.4690586577,122.0849334730,0.3841251847,deg
glycine,glycine_II,Ccarb_Cmethylene_N,bend,"A(1,5,6)",111.4475056289,111.5905980137,111.9397583430,-0.3491603293,deg
glycine,glycine_II,H_Cmethylene_H,bend,"A(7,5,8)",107.1289503990,106.6304983955,106.9064107890,-0.2759123935,deg
glycine,glycine_II,H_N_H,bend,"A(9,6,10)",107.5748364344,106.4436462715,107.6988323450,-1.2551860735,deg
