link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,0.0,296.4875552906885,63.512444709311524,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
2,10.0,296.4875552906885,73.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
3,20.0,296.4875552906885,83.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
4,30.0,296.4875552906885,93.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
5,40.0,296.4875552906885,103.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
6,50.0,296.4875552906885,113.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
7,60.0,296.4875552906885,123.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
8,70.0,296.4875552906885,133.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
9,80.0,296.4875552906885,143.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
10,90.0,296.4875552906885,153.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
