link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,0.0,293.4901721437273,66.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
2,10.0,293.4901721437273,76.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
3,20.0,293.4901721437273,86.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
4,30.0,293.4901721437273,96.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
5,40.0,293.4901721437273,106.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
6,50.0,293.4901721437273,116.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
7,60.0,293.4901721437273,126.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
8,70.0,293.4901721437273,136.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
9,80.0,293.4901721437273,146.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
10,90.0,293.4901721437273,156.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
11,100.0,293.4901721437273,166.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
12,110.0,293.4901721437273,176.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
13,120.0,293.4901721437273,-173.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
14,130.0,293.4901721437273,-163.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
15,140.0,293.4901721437273,-153.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
16,150.0,293.4901721437273,-143.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
17,160.0,293.4901721437273,-133.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
18,170.0,293.4901721437273,-123.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
19,180.0,293.4901721437273,-113.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
20,190.0,293.4901721437273,-103.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
21,200.0,293.4901721437273,-93.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
22,210.0,293.4901721437273,-83.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
23,220.0,293.4901721437273,-73.4901721437273,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
24,230.0,293.4901721437273,-63.49017214372731,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
25,240.0,293.4901721437273,-53.49017214372731,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
26,250.0,293.4901721437273,-43.49017214372731,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
27,260.0,293.4901721437273,-33.49017214372731,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
28,270.0,293.4901721437273,-23.490172143727307,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
29,280.0,293.4901721437273,-13.490172143727307,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
30,290.0,293.4901721437273,-3.4901721437273068,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
31,300.0,293.4901721437273,6.509827856272693,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
32,310.0,293.4901721437273,16.509827856272693,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
33,320.0,293.4901721437273,26.509827856272693,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
34,330.0,293.4901721437273,36.50982785627269,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
35,340.0,293.4901721437273,46.50982785627269,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
36,350.0,293.4901721437273,56.50982785627269,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
37,360.0,293.4901721437273,66.5098278562727,0.42340313674581426,-0.9742174917367891,1.06224758762358,0.37778379203128115,65.21418840237979,0.15837726880857775,0.34298284832666165,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
