link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,0.0,81.90184319903538,-81.90184319903538,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
2,10.0,81.90184319903538,-71.90184319903538,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
3,20.0,81.90184319903538,-61.90184319903538,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
4,30.0,81.90184319903538,-51.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
5,40.0,81.90184319903538,-41.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
6,50.0,81.90184319903538,-31.901843199035397,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
7,60.0,81.90184319903538,-21.901843199035397,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
8,70.0,81.90184319903538,-11.901843199035397,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
9,80.0,81.90184319903538,-1.9018431990353974,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
10,90.0,81.90184319903538,8.098156800964603,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
11,100.0,81.90184319903538,18.098156800964603,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
12,110.0,81.90184319903538,28.098156800964603,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
13,120.0,81.90184319903538,38.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
14,130.0,81.90184319903538,48.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
15,140.0,81.90184319903538,58.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
16,150.0,81.90184319903538,68.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
17,160.0,81.90184319903538,78.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
18,170.0,81.90184319903538,88.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
19,180.0,81.90184319903538,98.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
20,190.0,81.90184319903538,108.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
21,200.0,81.90184319903538,118.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
22,210.0,81.90184319903538,128.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
23,220.0,81.90184319903538,138.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
24,230.0,81.90184319903538,148.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
25,240.0,81.90184319903538,158.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
26,250.0,81.90184319903538,168.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
27,260.0,81.90184319903538,178.0981568009646,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
28,270.0,81.90184319903538,-171.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
29,280.0,81.90184319903538,-161.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
30,290.0,81.90184319903538,-151.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
31,300.0,81.90184319903538,-141.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
32,310.0,81.90184319903538,-131.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
33,320.0,81.90184319903538,-121.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
34,330.0,81.90184319903538,-111.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
35,340.0,81.90184319903538,-101.9018431990354,0.17104031389890945,1.2020691003573531,1.2141766391314626,0.4126774603342355,275.091513556469,0.03662378996182489,-0.4110491263544379,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
