link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,0.0,79.02948446834161,-79.02948446834161,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
2,10.0,79.02948446834161,-69.02948446834161,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
3,20.0,79.02948446834161,-59.02948446834161,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
4,30.0,79.02948446834161,-49.02948446834159,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
5,40.0,79.02948446834161,-39.02948446834159,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
6,50.0,79.02948446834161,-29.029484468341593,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
7,60.0,79.02948446834161,-19.029484468341593,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
8,70.0,79.02948446834161,-9.029484468341593,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
9,80.0,79.02948446834161,0.9705155316584069,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
10,90.0,79.02948446834161,10.970515531658407,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
11,100.0,79.02948446834161,20.970515531658407,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
12,110.0,79.02948446834161,30.970515531658407,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
13,120.0,79.02948446834161,40.97051553165841,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
14,130.0,79.02948446834161,50.97051553165841,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
15,140.0,79.02948446834161,60.97051553165841,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
16,150.0,79.02948446834161,70.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
17,160.0,79.02948446834161,80.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
18,170.0,79.02948446834161,90.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
19,180.0,79.02948446834161,100.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
20,190.0,79.02948446834161,110.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
21,200.0,79.02948446834161,120.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
22,210.0,79.02948446834161,130.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
23,220.0,79.02948446834161,140.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
24,230.0,79.02948446834161,150.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
25,240.0,79.02948446834161,160.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
26,250.0,79.02948446834161,170.9705155316584,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
27,260.0,79.02948446834161,-179.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
28,270.0,79.02948446834161,-169.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
29,280.0,79.02948446834161,-159.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
30,290.0,79.02948446834161,-149.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
31,300.0,79.02948446834161,-139.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
32,310.0,79.02948446834161,-129.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
33,320.0,79.02948446834161,-119.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
34,330.0,79.02948446834161,-109.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
35,340.0,79.02948446834161,-99.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
36,350.0,79.02948446834161,-89.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
37,360.0,79.02948446834161,-79.0294844683416,0.23500586803004353,1.2123308327530442,1.2348982978578615,0.4172001675633488,277.9797517654061,0.05791703441762211,-0.4131604977961401,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
