link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,0.0,90.00000000041193,-90.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
2,5.0,90.00000000041193,-85.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
3,10.0,90.00000000041193,-80.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
4,15.0,90.00000000041193,-75.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
5,20.0,90.00000000041193,-70.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
6,25.0,90.00000000041193,-65.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
7,30.0,90.00000000041193,-60.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
8,35.0,90.00000000041193,-55.00000000041193,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
9,40.0,90.00000000041193,-50.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
10,45.0,90.00000000041193,-45.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
11,50.0,90.00000000041193,-40.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
12,55.0,90.00000000041193,-35.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
13,60.0,90.00000000041193,-30.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
14,65.0,90.00000000041193,-25.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
15,70.0,90.00000000041193,-20.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
16,75.0,90.00000000041193,-15.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
17,80.0,90.00000000041193,-10.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
18,85.0,90.00000000041193,-5.000000000411944,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
19,90.0,90.00000000041193,-4.119442564842757e-10,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
20,95.0,90.00000000041193,4.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
21,100.0,90.00000000041193,9.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
22,105.0,90.00000000041193,14.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
23,110.0,90.00000000041193,19.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
24,115.0,90.00000000041193,24.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
25,120.0,90.00000000041193,29.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
26,125.0,90.00000000041193,34.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
27,130.0,90.00000000041193,39.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
28,135.0,90.00000000041193,44.999999999588056,-7.446319479376601e-12,1.0357223061532297,1.0357223061532297,0.3693018556435483,270.0,8.777083671441753e-17,-0.3693018556435483,E1,0.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
